country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,,,cases
afghanistan,0,0,0,0,,,484
albania,89,132,54,4.9,,,409
algeria,25,0,14,0.7,,,1666
andorra,245,138,312,12.4,,,583
angola,217,57,45,5.9,,,19
antigua & barbuda,102,128,45,4.9,,,3
argentina,193,25,221,8.3,,,1894
armenia,21,179,11,3.8,,,921
australia,261,72,212,10.4,,,6152
austria,279,75,191,9.7,,,13248
azerbaijan,21,46,5,1.3,,,926
bahamas,122,176,51,6.3,,,41
bahrain,42,63,7,2,,,887
bangladesh,0,0,0,0,,,330
barbados,143,173,36,6.3,,,66
belarus,142,373,42,14.4,,,1486
belgium,295,84,212,10.5,,,24983
belize,263,114,8,6.8,,,9
benin,34,4,13,1.1,,,30
bhutan,23,0,0,0.4,,,5
bolivia,167,41,8,3.8,,,268
bosnia-herzegovina,76,173,8,4.6,,,875
botswana,173,35,35,5.4,,,13
brazil,245,145,16,7.2,,,17857
brunei,31,2,1,0.6,,,135
bulgaria,231,252,94,10.3,,,624
burkina faso,25,7,7,4.3,,,443
burundi,88,0,0,6.3,,,3
cambodia,57,65,1,2.2,,,119
cameroon,147,1,4,5.8,,,730
canada,240,122,100,8.2,,,20748
central african republic,17,2,1,1.8,,,11
chad,15,1,1,0.4,,,11
chile,130,124,172,7.6,,,5972
china,79,192,8,5,,,82925
colombia,159,76,3,4.2,,,2223
comoros,1,3,1,0.1,,,60
costa rica,149,87,11,4.4,,,539
croatia,230,87,254,10.2,,,1407
cuba,93,137,5,4.2,,,515
cyprus,192,154,113,8.2,,,564
czech republic,361,170,134,11.8,,,5569
dr congo,32,3,1,2.3,,,215
denmark,224,81,278,10.4,,,5635
djibouti,15,44,3,1.1,,,140
dominica,52,286,26,6.6,,,16
dominican republic,193,147,9,6.2,,,2349
ecuador,162,74,3,4.2,,,4965
egypt,6,4,1,0.2,,,1699
el salvador,52,69,2,2.2,,,117
equatorial guinea,92,0,233,5.8,,,18
eritrea,18,0,0,0.5,,,33
estonia,224,194,59,9.5,,,1207
ethiopia,20,3,0,0.7,,,56
fiji,77,35,1,2,,,15
finland,263,133,97,10,,,2605
france,127,151,370,11.8,,,86334
gabon,347,98,59,8.9,,,44
gambia,8,0,1,2.4,,,4
georgia,52,100,149,5.4,,,218
germany,346,117,175,11.3,,,113525
ghana,31,3,10,1.8,,,378
greece,133,112,218,8.3,,,1955
grenada,199,438,28,11.9,,,11
guatemala,53,69,2,2.2,,,126
guinea,9,0,2,0.2,,,194
guinea-bissau,28,31,21,2.5,,,35
guyana,93,302,1,7.1,,,37
haiti,1,326,1,5.9,,,30
honduras,69,98,2,3,,,382
hungary,234,215,185,11.3,,,1190
iceland,233,61,78,6.6,,,1648
india,9,114,0,2.2,,,6412
indonesia,5,1,0,0.1,,,3293
iran,0,0,0,0,,,66220
iraq,9,3,0,0.2,,,1232
ireland,313,118,165,11.4,,,7393
israel,63,69,9,2.5,,,9968
italy,85,42,237,6.5,,,143626
jamaica,82,97,9,3.4,,,63
japan,77,202,16,7,,,4667
jordan,6,21,1,0.5,,,372
kazakhstan,124,246,12,6.8,,,802
kenya,58,22,2,1.8,,,184
kuwait,0,0,0,0,,,910
kyrgyzstan,31,97,6,2.4,,,298
laos,62,0,123,6.2,,,16
latvia,281,216,62,10.5,,,589
lebanon,20,55,31,1.9,,,582
liberia,19,152,2,3.1,,,31
libya,0,0,0,0,,,24
lithuania,343,244,56,12.9,,,955
luxembourg,236,133,271,11.4,,,3115
madagascar,26,15,4,0.8,,,93
malawi,8,11,1,1.5,,,8
malaysia,13,4,0,0.3,,,4228
maldives,0,0,0,0,,,19
mali,5,1,1,0.6,,,59
malta,149,100,120,6.6,,,337
mauritania,0,0,0,0,,,7
mauritius,98,31,18,2.6,,,314
mexico,238,68,5,5.5,,,3441
monaco,0,0,0,0,,,84
mongolia,77,189,8,4.9,,,16
montenegro,31,114,128,4.9,,,252
morocco,12,6,10,0.5,,,1374
mozambique,47,18,5,1.3,,,17
myanmar,5,1,0,0.1,,,27
namibia,376,3,1,6.8,,,16
nepal,5,6,0,0.2,,,9
netherlands,251,88,190,9.4,,,21762
new zealand,203,79,175,9.3,,,1015
nicaragua,78,118,1,3.5,,,6
niger,3,2,1,0.1,,,410
nigeria,42,5,2,9.1,,,288
norway,169,71,129,6.7,,,6160
oman,22,16,1,0.7,,,457
pakistan,0,0,0,0,,,4601
panama,285,104,18,7.2,,,2752
papua new guinea,44,39,1,1.5,,,2
paraguay,213,117,74,7.3,,,129
peru,163,160,21,6.1,,,5256
philippines,71,186,1,4.6,,,4076
poland,343,215,56,10.9,,,5575
portugal,194,67,339,11,,,13956
romania,297,122,167,10.4,,,5202
russian federation,247,326,73,11.5,,,10131
rwanda,43,2,0,6.8,,,113
st. kitts & nevis,194,205,32,7.7,,,11
st. lucia,171,315,71,10.1,,,14
st. vincent & the grenadines,120,221,11,6.3,,,12
saudi arabia,0,5,0,0.1,,,3287
senegal,9,1,7,0.3,,,250
serbia,283,131,127,9.6,,,2867
seychelles,157,25,51,4.1,,,10
sierra leone,25,3,2,6.7,,,7
singapore,60,12,11,1.5,,,1909
slovakia,196,293,116,11.4,,,701
slovenia,270,51,276,10.6,,,1124
somalia,0,0,0,0,,,12
south africa,225,76,81,8.2,,,1934
south Korea,144,16,9,9.8,,,10450
spain,284,157,112,10,,,10450
sri lanka,16,104,0,2.2,,,152446
sudan,8,13,0,1.7,,,14
suriname,128,178,7,5.6,,,10
swaziland,90,2,2,4.7,,,12
sweden,152,60,186,7.2,,,9141
switzerland,185,100,280,10.2,,,23495
syria,5,35,16,1,,,19
thailand,99,258,1,6.4,,,2473
timor-leste,1,1,4,0.1,,,2
togo,36,2,19,1.3,,,73
trinidad & tobago,197,156,7,6.4,,,109
tunisia,51,3,20,1.3,,,643
turkey,51,22,7,1.4,,,42282
uganda,45,9,0,8.3,,,53
ukraine,206,237,45,8.9,,,1892
united arab emirates,16,135,5,2.8,,,2990
united kingdom,219,126,195,10.4,,,65077
tanzania,36,6,1,5.7,,,25
usa,249,158,84,8.7,,,466033
uruguay,115,35,220,6.6,,,473
uzbekistan,25,101,8,2.4,,,582
venezuela,333,100,3,7.7,,,171
vietnam,111,2,1,2,,,255
yemen,6,0,0,0.1,,,1
zambia,32,19,4,2.5,,,39
zimbabwe,64,18,4,4.7,,,11
